"id","product_id","order_number","qnty","price","discount","final_price","deleted","deleted_date","paid","payment_date","fulfilled"
1,1,1,1,34,5,29,1,NA,1,NA,1
2,2,2,2,61,3,58,2,NA,2,NA,2
3,3,3,3,24,9,15,1,NA,1,NA,1
4,4,4,4,93,7,86,2,NA,2,NA,2
5,5,5,5,85,5,80,1,NA,1,NA,1
6,6,6,6,81,3,78,2,NA,2,NA,2
7,7,7,1,40,8,32,1,NA,1,NA,1
8,8,8,2,81,2,79,2,NA,2,NA,2
9,9,9,3,89,8,81,1,NA,1,NA,1
10,10,10,4,41,10,31,2,NA,2,NA,2
11,11,11,5,26,4,22,1,NA,1,NA,1
12,12,12,6,54,2,52,2,NA,2,NA,2
13,13,13,1,40,1,39,1,NA,1,NA,1
14,14,14,2,70,7,63,2,NA,2,NA,2
15,15,15,3,11,10,1,1,NA,1,NA,1
16,16,16,4,38,1,37,2,NA,2,NA,2
17,17,17,5,15,4,11,1,NA,1,NA,1
18,18,18,6,56,10,46,2,NA,2,NA,2
19,19,19,1,38,4,34,1,NA,1,NA,1
20,20,20,2,7,5,2,2,NA,2,NA,2
21,21,21,3,95,8,87,1,NA,1,NA,1
22,22,22,4,50,7,43,2,NA,2,NA,2
23,23,23,5,61,8,53,1,NA,1,NA,1
24,24,24,6,45,1,44,2,NA,2,NA,2
25,25,25,1,8,7,1,1,NA,1,NA,1
26,26,26,2,32,6,26,2,NA,2,NA,2
27,27,27,3,52,7,45,1,NA,1,NA,1
28,28,28,4,53,10,43,2,NA,2,NA,2
29,29,29,5,62,7,55,1,NA,1,NA,1
30,30,30,6,100,8,92,2,NA,2,NA,2
31,31,31,1,24,1,23,1,NA,1,NA,1
32,32,32,2,26,9,17,2,NA,2,NA,2
33,33,33,3,93,2,91,1,NA,1,NA,1
34,34,34,4,21,9,12,2,NA,2,NA,2
35,35,35,5,41,2,39,1,NA,1,NA,1
36,36,36,6,58,10,48,2,NA,2,NA,2
37,37,37,1,69,6,63,1,NA,1,NA,1
38,38,38,2,30,10,20,2,NA,2,NA,2
39,39,39,3,59,7,52,1,NA,1,NA,1
40,40,40,4,7,4,3,2,NA,2,NA,2
41,41,41,5,11,3,8,1,NA,1,NA,1
42,42,42,6,43,4,39,2,NA,2,NA,2
43,43,43,1,17,2,15,1,NA,1,NA,1
44,44,44,2,17,10,7,2,NA,2,NA,2
45,45,45,3,16,6,10,1,NA,1,NA,1
46,46,46,4,70,5,65,2,NA,2,NA,2
47,47,47,5,59,5,54,1,NA,1,NA,1
48,48,48,6,34,9,25,2,NA,2,NA,2
49,49,49,1,8,7,1,1,NA,1,NA,1
50,50,50,2,4,10,-6,2,NA,2,NA,2
51,51,51,3,75,7,68,1,NA,1,NA,1
52,52,52,4,48,9,39,2,NA,2,NA,2
53,53,53,5,59,6,53,1,NA,1,NA,1
54,54,54,6,98,7,91,2,NA,2,NA,2
55,55,55,1,8,9,-1,1,NA,1,NA,1
56,56,56,2,57,6,51,2,NA,2,NA,2
57,57,57,3,84,1,83,1,NA,1,NA,1
58,58,58,4,56,4,52,2,NA,2,NA,2
59,59,59,5,86,3,83,1,NA,1,NA,1
60,60,60,6,17,1,16,2,NA,2,NA,2
61,61,61,1,31,1,30,1,NA,1,NA,1
62,62,62,2,63,5,58,2,NA,2,NA,2
63,63,63,3,5,4,1,1,NA,1,NA,1
64,64,64,4,47,2,45,2,NA,2,NA,2
65,65,65,5,9,8,1,1,NA,1,NA,1
66,66,66,6,73,2,71,2,NA,2,NA,2
67,67,67,1,9,4,5,1,NA,1,NA,1
68,68,68,2,40,6,34,2,NA,2,NA,2
69,69,69,3,75,7,68,1,NA,1,NA,1
70,70,70,4,23,2,21,2,NA,2,NA,2
71,71,71,5,64,2,62,1,NA,1,NA,1
72,72,72,6,42,6,36,2,NA,2,NA,2
73,73,73,1,53,8,45,1,NA,1,NA,1
74,74,74,2,41,7,34,2,NA,2,NA,2
75,75,75,3,47,1,46,1,NA,1,NA,1
76,76,76,4,1,6,-5,2,NA,2,NA,2
77,77,77,5,42,3,39,1,NA,1,NA,1
78,78,78,6,19,8,11,2,NA,2,NA,2
79,79,79,1,56,5,51,1,NA,1,NA,1
80,80,80,2,58,1,57,2,NA,2,NA,2
81,81,81,3,98,10,88,1,NA,1,NA,1
82,82,82,4,53,5,48,2,NA,2,NA,2
83,83,83,5,85,6,79,1,NA,1,NA,1
84,84,84,6,1,10,-9,2,NA,2,NA,2
85,85,85,1,10,9,1,1,NA,1,NA,1
86,86,86,2,37,3,34,2,NA,2,NA,2
87,87,87,3,26,7,19,1,NA,1,NA,1
88,88,88,4,83,8,75,2,NA,2,NA,2
89,89,89,5,62,10,52,1,NA,1,NA,1
90,90,90,6,34,6,28,2,NA,2,NA,2
91,91,91,1,50,4,46,1,NA,1,NA,1
92,92,92,2,75,7,68,2,NA,2,NA,2
93,93,93,3,59,6,53,1,NA,1,NA,1
94,94,94,4,69,6,63,2,NA,2,NA,2
95,95,95,5,48,8,40,1,NA,1,NA,1
96,96,96,6,25,10,15,2,NA,2,NA,2
97,97,97,1,55,2,53,1,NA,1,NA,1
98,98,98,2,43,1,42,2,NA,2,NA,2
99,99,99,3,20,3,17,1,NA,1,NA,1
100,100,100,4,5,9,-4,2,NA,2,NA,2
101,101,101,5,85,2,83,1,NA,1,NA,1
102,102,102,6,88,1,87,2,NA,2,NA,2
103,103,103,1,21,4,17,1,NA,1,NA,1
104,104,104,2,62,10,52,2,NA,2,NA,2
105,105,105,3,57,2,55,1,NA,1,NA,1
106,106,106,4,80,1,79,2,NA,2,NA,2
107,107,107,5,91,8,83,1,NA,1,NA,1
108,108,108,6,33,8,25,2,NA,2,NA,2
109,109,109,1,61,2,59,1,NA,1,NA,1
110,110,110,2,12,2,10,2,NA,2,NA,2
111,111,111,3,36,5,31,1,NA,1,NA,1
112,112,112,4,5,2,3,2,NA,2,NA,2
113,113,113,5,70,1,69,1,NA,1,NA,1
114,114,114,6,47,9,38,2,NA,2,NA,2
115,115,115,1,96,7,89,1,NA,1,NA,1
116,116,116,2,15,5,10,2,NA,2,NA,2
117,117,117,3,98,2,96,1,NA,1,NA,1
118,118,118,4,66,1,65,2,NA,2,NA,2
119,119,119,5,58,1,57,1,NA,1,NA,1
120,120,120,6,82,2,80,2,NA,2,NA,2
121,121,121,1,15,10,5,1,NA,1,NA,1
122,122,122,2,35,3,32,2,NA,2,NA,2
123,123,123,3,4,1,3,1,NA,1,NA,1
124,124,124,4,62,9,53,2,NA,2,NA,2
125,125,125,5,17,4,13,1,NA,1,NA,1
126,126,126,6,34,1,33,2,NA,2,NA,2
127,127,127,1,31,9,22,1,NA,1,NA,1
128,128,128,2,93,1,92,2,NA,2,NA,2
129,129,129,3,45,5,40,1,NA,1,NA,1
130,130,130,4,67,1,66,2,NA,2,NA,2
131,131,131,5,15,2,13,1,NA,1,NA,1
132,132,132,6,10,6,4,2,NA,2,NA,2
133,133,133,1,35,6,29,1,NA,1,NA,1
134,134,134,2,25,2,23,2,NA,2,NA,2
135,135,135,3,64,7,57,1,NA,1,NA,1
136,136,136,4,47,8,39,2,NA,2,NA,2
137,137,137,5,13,1,12,1,NA,1,NA,1
138,138,138,6,94,8,86,2,NA,2,NA,2
139,139,139,1,81,5,76,1,NA,1,NA,1
140,140,140,2,36,8,28,2,NA,2,NA,2
141,141,141,3,3,2,1,1,NA,1,NA,1
142,142,142,4,64,2,62,2,NA,2,NA,2
143,143,143,5,92,2,90,1,NA,1,NA,1
144,144,144,6,69,1,68,2,NA,2,NA,2
145,145,145,1,55,5,50,1,NA,1,NA,1
146,146,146,2,58,9,49,2,NA,2,NA,2
147,147,147,3,21,3,18,1,NA,1,NA,1
148,148,148,4,45,1,44,2,NA,2,NA,2
149,149,149,5,22,4,18,1,NA,1,NA,1
150,150,150,6,53,6,47,2,NA,2,NA,2
151,151,151,1,96,4,92,1,NA,1,NA,1
152,152,152,2,62,4,58,2,NA,2,NA,2
153,153,153,3,52,1,51,1,NA,1,NA,1
154,154,154,4,50,8,42,2,NA,2,NA,2
155,155,155,5,78,9,69,1,NA,1,NA,1
156,156,156,6,85,1,84,2,NA,2,NA,2
157,157,157,1,46,6,40,1,NA,1,NA,1
158,158,158,2,38,1,37,2,NA,2,NA,2
159,159,159,3,29,2,27,1,NA,1,NA,1
