"id","customer_id","order_number","payment_id","order_date","ship_date","request_date","sales_tax","freight","deleted","deleted_date","paid","payment_date","fulfilled"
1,1,1,1,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,1,NA,1
2,2,2,2,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,2,NA,2
3,3,3,3,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,1,NA,1
4,4,4,4,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,2,NA,2
5,5,5,5,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,1,NA,1
6,6,6,6,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,2,NA,2
7,7,7,7,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,1,NA,1
8,8,8,8,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,2,NA,2
9,9,9,9,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,1,NA,1
10,10,10,10,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,2,NA,2
11,11,11,11,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,1,NA,1
12,12,12,12,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,2,NA,2
13,13,13,13,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,1,NA,1
14,14,14,14,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,2,NA,2
15,15,15,15,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,1,NA,1
16,16,16,16,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,2,NA,2
17,17,17,17,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,1,NA,1
18,18,18,18,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,2,NA,2
19,19,19,19,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,1,NA,1
20,20,20,20,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,2,NA,2
21,21,21,21,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,1,NA,1
22,22,22,22,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,2,NA,2
23,23,23,23,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,1,NA,1
24,24,24,24,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,2,NA,2
25,25,25,25,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,1,NA,1
26,26,26,26,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,2,NA,2
27,27,27,27,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,1,NA,1
28,28,28,28,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,2,NA,2
29,29,29,29,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,1,NA,1
30,30,30,30,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,2,NA,2
31,31,31,31,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,1,NA,1
32,32,32,32,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,2,NA,2
33,33,33,33,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,1,NA,1
34,34,34,34,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,2,NA,2
35,35,35,35,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,1,NA,1
36,36,36,36,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,2,NA,2
37,37,37,37,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,1,NA,1
38,38,38,38,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,2,NA,2
39,39,39,39,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,1,NA,1
40,40,40,40,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,2,NA,2
41,41,41,41,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,1,NA,1
42,42,42,42,"2000-01-01",NA,"2000-01-01",1,"A",1,NA,2,NA,2
