"id","company_name","contact_f_name","address","city","state","postalcode","country","email","payment_methods","email.1","url","note"
1,"A","A","A","A","A","A","A","A",1,"A","A","A"
2,"B","B","B","B","B","A","A","B",2,"B","B","A"
3,"C","C","C","C","C","A","A","C",3,"C","C","A"
4,"D","D","D","A","D","A","A","D",4,"D","D","A"
5,"E","E","E","B","E","A","A","E",1,"E","E","A"
6,"F","F","F","C","F","A","A","F",2,"F","F","A"
7,"G","G","G","A","G","A","A","G",3,"G","G","A"
8,"H","H","H","B","H","A","A","H",4,"H","H","A"
9,"I","I","I","C","I","A","A","I",1,"I","I","A"
10,"J","J","J","A","J","A","A","J",2,"J","J","A"
11,"K","K","K","B","K","A","A","K",3,"K","K","A"
12,"L","L","L","C","L","A","A","L",4,"L","L","A"
13,"M","M","M","A","A","A","A","M",1,"M","M","A"
14,"N","N","N","B","B","A","A","N",2,"N","N","A"
15,"O","O","O","C","C","A","A","O",3,"O","O","A"
16,"P","P","P","A","D","A","A","P",4,"P","P","A"
17,"Q","Q","Q","B","E","A","A","Q",1,"Q","Q","A"
18,"R","R","R","C","F","A","A","R",2,"R","R","A"
19,"S","S","S","A","G","A","A","S",3,"S","S","A"
20,"T","T","T","B","H","A","A","T",4,"T","T","A"
21,"A","A","A","C","I","A","A","A",1,"A","A","A"
22,"B","B","B","A","J","A","A","B",2,"B","B","A"
23,"C","C","C","B","K","A","A","C",3,"C","C","A"
24,"D","D","D","C","L","A","A","D",4,"D","D","A"
25,"E","E","E","A","A","A","A","E",1,"E","E","A"
26,"F","F","F","B","B","A","A","F",2,"F","F","A"
27,"G","G","G","C","C","A","A","G",3,"G","G","A"
28,"H","H","H","A","D","A","A","H",4,"H","H","A"
29,"I","I","I","B","E","A","A","I",1,"I","I","A"
30,"J","J","J","C","F","A","A","J",2,"J","J","A"
31,"K","K","K","A","G","A","A","K",3,"K","K","A"
32,"L","L","L","B","H","A","A","L",4,"L","L","A"
33,"M","M","M","C","I","A","A","M",1,"M","M","A"
34,"N","N","N","A","J","A","A","N",2,"N","N","A"
35,"O","O","O","B","K","A","A","O",3,"O","O","A"
36,"P","P","P","C","L","A","A","P",4,"P","P","A"
37,"Q","Q","Q","A","A","A","A","Q",1,"Q","Q","A"
38,"R","R","R","B","B","A","A","R",2,"R","R","A"
39,"S","S","S","C","C","A","A","S",3,"S","S","A"
40,"T","T","T","A","D","A","A","T",4,"T","T","A"
41,"A","A","A","B","E","A","A","A",1,"A","A","A"
42,"B","B","B","C","F","A","A","B",2,"B","B","A"
43,"C","C","C","A","G","A","A","C",3,"C","C","A"
44,"D","D","D","B","H","A","A","D",4,"D","D","A"
45,"E","E","E","C","I","A","A","E",1,"E","E","A"
46,"F","F","F","A","J","A","A","F",2,"F","F","A"
47,"G","G","G","B","K","A","A","G",3,"G","G","A"
48,"H","H","H","C","L","A","A","H",4,"H","H","A"
49,"I","I","I","A","A","A","A","I",1,"I","I","A"
50,"J","J","J","B","B","A","A","J",2,"J","J","A"
51,"K","K","K","C","C","A","A","K",3,"K","K","A"
52,"L","L","L","A","D","A","A","L",4,"L","L","A"
53,"M","M","M","B","E","A","A","M",1,"M","M","A"
54,"N","N","N","C","F","A","A","N",2,"N","N","A"
55,"O","O","O","A","G","A","A","O",3,"O","O","A"
56,"P","P","P","B","H","A","A","P",4,"P","P","A"
57,"Q","Q","Q","C","I","A","A","Q",1,"Q","Q","A"
58,"R","R","R","A","J","A","A","R",2,"R","R","A"
59,"S","S","S","B","K","A","A","S",3,"S","S","A"
60,"T","T","T","C","L","A","A","T",4,"T","T","A"
61,"A","A","A","A","A","A","A","A",1,"A","A","A"
62,"B","B","B","B","B","A","A","B",2,"B","B","A"
63,"C","C","C","C","C","A","A","C",3,"C","C","A"
64,"D","D","D","A","D","A","A","D",4,"D","D","A"
65,"E","E","E","B","E","A","A","E",1,"E","E","A"
66,"F","F","F","C","F","A","A","F",2,"F","F","A"
67,"G","G","G","A","G","A","A","G",3,"G","G","A"
68,"H","H","H","B","H","A","A","H",4,"H","H","A"
69,"I","I","I","C","I","A","A","I",1,"I","I","A"
70,"J","J","J","A","J","A","A","J",2,"J","J","A"
71,"K","K","K","B","K","A","A","K",3,"K","K","A"
72,"L","L","L","C","L","A","A","L",4,"L","L","A"
73,"M","M","M","A","A","A","A","M",1,"M","M","A"
74,"N","N","N","B","B","A","A","N",2,"N","N","A"
75,"O","O","O","C","C","A","A","O",3,"O","O","A"
76,"P","P","P","A","D","A","A","P",4,"P","P","A"
77,"Q","Q","Q","B","E","A","A","Q",1,"Q","Q","A"
78,"R","R","R","C","F","A","A","R",2,"R","R","A"
79,"S","S","S","A","G","A","A","S",3,"S","S","A"
80,"T","T","T","B","H","A","A","T",4,"T","T","A"
81,"A","A","A","C","I","A","A","A",1,"A","A","A"
82,"B","B","B","A","J","A","A","B",2,"B","B","A"
83,"C","C","C","B","K","A","A","C",3,"C","C","A"
84,"D","D","D","C","L","A","A","D",4,"D","D","A"
85,"E","E","E","A","A","A","A","E",1,"E","E","A"
86,"F","F","F","B","B","A","A","F",2,"F","F","A"
87,"G","G","G","C","C","A","A","G",3,"G","G","A"
88,"H","H","H","A","D","A","A","H",4,"H","H","A"
89,"I","I","I","B","E","A","A","I",1,"I","I","A"
90,"J","J","J","C","F","A","A","J",2,"J","J","A"
91,"K","K","K","A","G","A","A","K",3,"K","K","A"
92,"L","L","L","B","H","A","A","L",4,"L","L","A"
93,"M","M","M","C","I","A","A","M",1,"M","M","A"
94,"N","N","N","A","J","A","A","N",2,"N","N","A"
95,"O","O","O","B","K","A","A","O",3,"O","O","A"
96,"P","P","P","C","L","A","A","P",4,"P","P","A"
97,"Q","Q","Q","A","A","A","A","Q",1,"Q","Q","A"
98,"R","R","R","B","B","A","A","R",2,"R","R","A"
99,"S","S","S","C","C","A","A","S",3,"S","S","A"
100,"T","T","T","A","D","A","A","T",4,"T","T","A"
101,"A","A","A","B","E","A","A","A",1,"A","A","A"
102,"B","B","B","C","F","A","A","B",2,"B","B","A"
103,"C","C","C","A","G","A","A","C",3,"C","C","A"
104,"D","D","D","B","H","A","A","D",4,"D","D","A"
105,"E","E","E","C","I","A","A","E",1,"E","E","A"
106,"F","F","F","A","J","A","A","F",2,"F","F","A"
107,"G","G","G","B","K","A","A","G",3,"G","G","A"
108,"H","H","H","C","L","A","A","H",4,"H","H","A"
109,"I","I","I","A","A","A","A","I",1,"I","I","A"
110,"J","J","J","B","B","A","A","J",2,"J","J","A"
111,"K","K","K","C","C","A","A","K",3,"K","K","A"
112,"L","L","L","A","D","A","A","L",4,"L","L","A"
113,"M","M","M","B","E","A","A","M",1,"M","M","A"
114,"N","N","N","C","F","A","A","N",2,"N","N","A"
