"customer_id","id","product","qnty","price","totalprice","description","purchased","category","product_id","payment_id","user_id","created_at","updated_at","deleted_at","created_date","qnty_paid","created_at_ymd","country"
1,304,"Quisquamrerum.",4,295,1180,"Et nihil eligendi omnis.",1,"Qrs72gsjGa",229,137,8,"2024-02-07 14:19:40","2024-02-07 14:19:40",NA,2024-12-06,4,"20241206","Saint Pierre &amp; Miquelon"
1,319,"Eveniet.",1,292,292,"Et vel quas voluptate.",0,"RWmotgOYvt",105,142,10,"2024-02-07 14:19:40","2024-02-07 14:19:40",NA,2024-07-30,0,"20240730","Saint Pierre &amp; Miquelon"
1,576,"Ametet.",3,334,1002,"Et qui earum nobis.",1,"k7MRmVY0X8",312,109,7,"2024-02-07 14:19:40","2024-02-07 14:19:40",NA,2024-02-07,3,"20240207","Saint Pierre &amp; Miquelon"
1,172,"Quidoloremque.",4,257,1028,"Rerum corrupti amet sed.",0,"F8ioxlh8VT",268,100,9,"2024-02-07 14:19:39","2024-02-07 14:19:39",NA,2025-01-10,0,"20250110","Saint Pierre &amp; Miquelon"
1,46,"Architecto.",1,394,394,"Ad est est suscipit.",1,"QydRVo7tLd",15,107,5,"2024-02-07 14:19:39","2024-02-07 14:19:39",NA,2024-03-26,1,"20240326","Saint Pierre &amp; Miquelon"
1,612,"Nonetalias.",3,356,1068,"Illo et ut laborum nulla.",1,"0mocKkZUwr",26,105,7,"2024-02-07 14:19:40","2024-02-07 14:19:40",NA,2024-12-17,3,"20241217","Saint Pierre &amp; Miquelon"
1,365,"Nihildolorem.",3,239,717,"Vel maiores et et sed.",0,"9uzI7NiOao",61,171,7,"2024-02-07 14:19:40","2024-02-07 14:19:40",NA,2025-01-19,0,"20250119","Saint Pierre &amp; Miquelon"
1,507,"Fugitquodet.",2,211,422,"Odio magnam porro libero.",1,"NejL4wgj4w",301,130,7,"2024-02-07 14:19:40","2024-02-07 14:19:40",NA,2024-06-15,2,"20240615","Saint Pierre &amp; Miquelon"
1,309,"Similiqueut.",4,217,868,"Ipsum iste sit neque.",1,"4z9mSD6fzr",251,137,10,"2024-02-07 14:19:40","2024-02-07 14:19:40",NA,2024-11-14,4,"20241114","Saint Pierre &amp; Miquelon"
1,542,"Architecto.",3,362,1086,"Dolor aut iure ut.",1,"MY16uYysyt",74,158,2,"2024-02-07 14:19:40","2024-02-07 14:19:40",NA,2024-07-07,3,"20240707","Saint Pierre &amp; Miquelon"
1,459,"Earemet.",4,335,1340,"Autem quia id in iste.",0,"9uzI7NiOao",218,145,7,"2024-02-07 14:19:40","2024-02-07 14:19:40",NA,2024-12-14,0,"20241214","Saint Pierre &amp; Miquelon"
1,216,"Cupiditatehic.",1,298,298,"Neque id sit qui officia.",1,"Qrs72gsjGa",251,146,9,"2024-02-07 14:19:39","2024-02-07 14:19:39",NA,2024-05-04,1,"20240504","Saint Pierre &amp; Miquelon"
1,21,"Eaetcum.",3,302,906,"Sapiente ut quia quasi.",0,"MY16uYysyt",391,134,9,"2024-02-07 14:19:39","2024-02-07 14:19:39",NA,2024-02-25,0,"20240225","Saint Pierre &amp; Miquelon"
1,613,"Voluptatem.",4,274,1096,"Rem hic asperiores nam.",0,"4z9mSD6fzr",72,105,2,"2024-02-07 14:19:40","2024-02-07 14:19:40",NA,2024-12-16,0,"20241216","Saint Pierre &amp; Miquelon"
1,20,"Voluptatem.",2,213,426,"Dolorem quia quia non.",1,"Ns3an1ZfUF",78,114,7,"2024-02-07 14:19:39","2024-02-07 14:19:39",NA,2024-07-24,2,"20240724","Saint Pierre &amp; Miquelon"
1,456,"Earumautemet.",2,367,734,"Fugiat qui aut quasi.",0,"c8cv2wvB8l",381,172,5,"2024-02-07 14:19:40","2024-02-07 14:19:40",NA,2024-11-15,0,"20241115","Saint Pierre &amp; Miquelon"
