"id","amount","method","user_id","created_at","updated_at","created_date","created_at_ymd"
1,9560.39,"Visa",6,"2024-02-07 14:19:41","2024-02-07 14:19:41",2024-08-24,"20240824"
2,9474.23,"MasterCard",5,"2024-02-07 14:19:41","2024-02-07 14:19:41",2024-08-26,"20240826"
3,4232.6,"Visa",4,"2024-02-07 14:19:41","2024-02-07 14:19:41",2024-02-21,"20240221"
4,6844.27,"MasterCard",3,"2024-02-07 14:19:41","2024-02-07 14:19:41",2024-07-23,"20240723"
5,8398.29,"Visa",4,"2024-02-07 14:19:41","2024-02-07 14:19:41",2025-01-17,"20250117"
6,8231.47,"Visa",9,"2024-02-07 14:19:41","2024-02-07 14:19:41",2025-01-13,"20250113"
7,2601.1,"Visa",5,"2024-02-07 14:19:41","2024-02-07 14:19:41",2024-03-10,"20240310"
8,6028.12,"MasterCard",7,"2024-02-07 14:19:41","2024-02-07 14:19:41",2024-07-10,"20240710"
9,6614.99,"MasterCard",8,"2024-02-07 14:19:41","2024-02-07 14:19:41",2024-12-21,"20241221"
10,4125.84,"American Express",6,"2024-02-07 14:19:41","2024-02-07 14:19:41",2025-01-19,"20250119"
11,8169.63,"Visa",1,"2024-02-07 14:19:41","2024-02-07 14:19:41",2024-11-15,"20241115"
12,6069.3,"Visa",10,"2024-02-07 14:19:41","2024-02-07 14:19:41",2024-05-11,"20240511"
13,9488.13,"MasterCard",5,"2024-02-07 14:19:41","2024-02-07 14:19:41",2025-01-16,"20250116"
14,8101.34,"American Express",2,"2024-02-07 14:19:41","2024-02-07 14:19:41",2024-10-12,"20241012"
15,4434.31,"Visa",6,"2024-02-07 14:19:41","2024-02-07 14:19:41",2024-03-20,"20240320"
16,7169.19,"MasterCard",3,"2024-02-07 14:19:41","2024-02-07 14:19:41",2025-01-13,"20250113"
17,9192.94,"Visa",5,"2024-02-07 14:19:41","2024-02-07 14:19:41",2024-06-27,"20240627"
18,8886.13,"JCB",1,"2024-02-07 14:19:41","2024-02-07 14:19:41",2024-06-22,"20240622"
19,9432.14,"Visa Retired",6,"2024-02-07 14:19:41","2024-02-07 14:19:41",2024-09-20,"20240920"
20,662.37,"Discover Card",10,"2024-02-07 14:19:41","2024-02-07 14:19:41",2025-01-21,"20250121"
21,4023.07,"American Express",9,"2024-02-07 14:19:41","2024-02-07 14:19:41",2024-06-02,"20240602"
22,343.68,"Visa",5,"2024-02-07 14:19:41","2024-02-07 14:19:41",2024-03-16,"20240316"
23,2036.83,"JCB",5,"2024-02-07 14:19:41","2024-02-07 14:19:41",2024-02-20,"20240220"
24,8029.69,"Visa",6,"2024-02-07 14:19:41","2024-02-07 14:19:41",2024-03-11,"20240311"
25,7404.04,"Discover Card",7,"2024-02-07 14:19:41","2024-02-07 14:19:41",2024-07-04,"20240704"
26,3157.79,"Visa",1,"2024-02-07 14:19:41","2024-02-07 14:19:41",2024-05-10,"20240510"
27,6228.6,"Visa",1,"2024-02-07 14:19:41","2024-02-07 14:19:41",2024-12-31,"20241231"
