"id","payment_amount","payment_method","supplier_id","user_id","created_at","updated_at","created_date","created_at_ymd"
1,"284.1","American Express",5,2,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-09-05,"20240905"
2,"222.99","MasterCard",6,7,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-03-27,"20240327"
3,"393.45","Visa",3,7,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-11-05,"20241105"
4,"571.75","MasterCard",4,9,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-07-10,"20240710"
5,"357.06","MasterCard",5,7,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-09-25,"20240925"
6,"142.58","MasterCard",1,8,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-12-09,"20241209"
7,"340.97","Visa Retired",4,1,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-03-09,"20240309"
8,"189.07","Visa",3,8,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-05-02,"20240502"
9,"372.96","Discover Card",5,4,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-05-18,"20240518"
10,"190.94","JCB",6,3,"2024-02-07 14:19:29","2024-02-07 14:19:29",2025-01-13,"20250113"
11,"419.02","Visa",2,4,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-11-07,"20241107"
12,"473.86","American Express",1,7,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-06-01,"20240601"
13,"328.93","MasterCard",2,4,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-06-22,"20240622"
14,"270.83","Visa",6,3,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-05-24,"20240524"
15,"537.96","Visa",2,8,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-12-14,"20241214"
16,"548.56","American Express",6,9,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-04-21,"20240421"
17,"429.07","MasterCard",6,7,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-07-28,"20240728"
18,"407.27","MasterCard",1,9,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-07-02,"20240702"
19,"464.21","MasterCard",4,10,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-07-25,"20240725"
20,"222.95","MasterCard",1,9,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-09-20,"20240920"
21,"263.3","Discover Card",4,10,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-10-24,"20241024"
22,"562.33","Visa",1,8,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-08-15,"20240815"
23,"454.2","MasterCard",6,4,"2024-02-07 14:19:29","2024-02-07 14:19:29",2025-01-18,"20250118"
24,"434.21","Visa Retired",1,3,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-05-20,"20240520"
25,"459.25","MasterCard",6,9,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-07-07,"20240707"
26,"492.86","Visa",6,1,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-07-18,"20240718"
27,"569.8","Visa",3,1,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-07-17,"20240717"
28,"329.54","Visa",3,8,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-05-22,"20240522"
29,"269.48","Visa",3,3,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-09-26,"20240926"
30,"383.26","American Express",4,2,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-09-25,"20240925"
31,"206.18","MasterCard",2,5,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-05-07,"20240507"
32,"316.04","JCB",3,2,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-04-26,"20240426"
33,"157","Discover Card",4,10,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-12-02,"20241202"
34,"301.9","JCB",4,3,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-03-11,"20240311"
35,"164.35","Visa",4,8,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-07-08,"20240708"
36,"251.61","MasterCard",1,5,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-10-04,"20241004"
37,"208.62","MasterCard",3,7,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-11-13,"20241113"
38,"411.34","MasterCard",5,6,"2024-02-07 14:19:29","2024-02-07 14:19:29",2024-03-31,"20240331"
