"id","vendor_id","supplier_id","name","description","notes"
1,1,1,"A","A","A"
2,2,2,"B","B","B"
3,3,3,"C","C","C"
4,4,4,"D","D","D"
5,5,5,"E","E","E"
6,6,6,"F","F","F"
7,7,7,"G","G","G"
8,8,8,"H","H","H"
9,9,9,"I","I","I"
10,10,10,"J","J","J"
11,11,11,"K","K","K"
12,12,12,"L","L","L"
13,13,13,"M","M","M"
14,14,14,"N","N","N"
15,15,15,"O","O","O"
16,16,16,"P","P","P"
17,17,17,"Q","Q","Q"
18,18,18,"R","R","R"
19,19,19,"S","S","S"
20,20,20,"T","T","T"
21,21,21,"A","A","A"
22,22,22,"B","B","B"
23,23,23,"C","C","C"
24,24,24,"D","D","D"
25,25,25,"E","E","E"
26,26,26,"F","F","F"
27,27,27,"G","G","G"
28,28,28,"H","H","H"
29,29,29,"I","I","I"
30,30,30,"J","J","J"
31,31,31,"K","K","K"
32,32,32,"L","L","L"
33,33,33,"M","M","M"
34,34,34,"N","N","N"
35,35,35,"O","O","O"
36,36,36,"P","P","P"
37,37,37,"Q","Q","Q"
38,38,38,"R","R","R"
39,39,39,"S","S","S"
40,40,40,"T","T","T"
41,41,41,"A","A","A"
42,42,42,"B","B","B"
43,43,43,"C","C","C"
44,44,44,"D","D","D"
45,45,45,"E","E","E"
46,46,46,"F","F","F"
47,47,47,"G","G","G"
48,48,48,"H","H","H"
49,49,49,"I","I","I"
50,50,50,"J","J","J"
51,51,51,"K","K","K"
52,52,52,"L","L","L"
53,53,53,"M","M","M"
54,54,54,"N","N","N"
55,55,55,"O","O","O"
56,56,56,"P","P","P"
57,57,57,"Q","Q","Q"
58,58,58,"R","R","R"
59,59,59,"S","S","S"
60,60,60,"T","T","T"
61,61,61,"A","A","A"
62,62,62,"B","B","B"
63,63,63,"C","C","C"
64,64,64,"D","D","D"
65,65,65,"E","E","E"
66,66,66,"F","F","F"
67,67,67,"G","G","G"
68,68,68,"H","H","H"
69,69,69,"I","I","I"
70,70,70,"J","J","J"
71,71,71,"K","K","K"
72,72,72,"L","L","L"
73,73,73,"M","M","M"
74,74,74,"N","N","N"
75,75,75,"O","O","O"
76,76,76,"P","P","P"
77,77,77,"Q","Q","Q"
78,78,78,"R","R","R"
79,79,79,"S","S","S"
80,80,80,"T","T","T"
81,81,81,"A","A","A"
82,82,82,"B","B","B"
83,83,83,"C","C","C"
84,84,84,"D","D","D"
85,85,85,"E","E","E"
86,86,86,"F","F","F"
87,87,87,"G","G","G"
88,88,88,"H","H","H"
89,89,89,"I","I","I"
90,90,90,"J","J","J"
91,91,91,"K","K","K"
92,92,92,"L","L","L"
93,93,93,"M","M","M"
94,94,94,"N","N","N"
95,95,95,"O","O","O"
96,96,96,"P","P","P"
97,97,97,"Q","Q","Q"
98,98,98,"R","R","R"
99,99,99,"S","S","S"
100,100,100,"T","T","T"
101,101,101,"A","A","A"
102,102,102,"B","B","B"
103,103,103,"C","C","C"
104,104,104,"D","D","D"
105,105,105,"E","E","E"
106,106,106,"F","F","F"
107,107,107,"G","G","G"
108,108,108,"H","H","H"
109,109,109,"I","I","I"
110,110,110,"J","J","J"
111,111,111,"K","K","K"
112,112,112,"L","L","L"
113,113,113,"M","M","M"
114,114,114,"N","N","N"
115,115,115,"O","O","O"
116,116,116,"P","P","P"
117,117,117,"Q","Q","Q"
118,118,118,"R","R","R"
119,119,119,"S","S","S"
120,120,120,"T","T","T"
121,121,121,"A","A","A"
122,122,122,"B","B","B"
123,123,123,"C","C","C"
124,124,124,"D","D","D"
125,125,125,"E","E","E"
126,126,126,"F","F","F"
127,127,127,"G","G","G"
128,128,128,"H","H","H"
129,129,129,"I","I","I"
130,130,130,"J","J","J"
131,131,131,"K","K","K"
132,132,132,"L","L","L"
133,133,133,"M","M","M"
134,134,134,"N","N","N"
135,135,135,"O","O","O"
136,136,136,"P","P","P"
137,137,137,"Q","Q","Q"
138,138,138,"R","R","R"
139,139,139,"S","S","S"
140,140,140,"T","T","T"
141,141,141,"A","A","A"
142,142,142,"B","B","B"
143,143,143,"C","C","C"
144,144,144,"D","D","D"
145,145,145,"E","E","E"
146,146,146,"F","F","F"
147,147,147,"G","G","G"
148,148,148,"H","H","H"
149,149,149,"I","I","I"
